"congress","chamber","num_results","offset","members__id","members__api_uri","members__name","members__party","members__state","members__district","members__total_votes","members__missed_votes","members__missed_votes_pct","members__rank","members__notes"
"","","","","F000451","https://api.propublica.org/congress/v1/members/F000451.json","Michael G. Fitzpatrick","R","PA","8","1325","54","4.08","131","Announced retirement on Nov. 10, 2014"
"","","","","G000565","https://api.propublica.org/congress/v1/members/G000565.json","Paul Gosar","R","AZ","4","1325","54","4.08","132",""
"","","","","G000556","https://api.propublica.org/congress/v1/members/G000556.json","Alan Grayson","D","FL","9","1325","54","4.08","133","Running for Senate"
"","","","","M001182","https://api.propublica.org/congress/v1/members/M001182.json","Mick Mulvaney","R","SC","5","1325","54","4.08","134",""
"","","","","G000553","https://api.propublica.org/congress/v1/members/G000553.json","Al Green","D","TX","9","1325","54","4.08","135",""
"","","","","M000404","https://api.propublica.org/congress/v1/members/M000404.json","Jim McDermott","D","WA","7","1325","54","4.08","136","Announced retirement on Jan. 4, 2016"
"","","","","B001292","https://api.propublica.org/congress/v1/members/B001292.json","Donald Beyer","D","VA","8","1325","54","4.08","137",""
"","","","","G000559","https://api.propublica.org/congress/v1/members/G000559.json","John Garamendi","D","CA","3","1325","53","4.00","138",""
"","","","","H000874","https://api.propublica.org/congress/v1/members/H000874.json","Steny H. Hoyer","D","MD","5","1325","53","4.00","139",""
"","","","","T000193","https://api.propublica.org/congress/v1/members/T000193.json","Bennie Thompson","D","MS","2","1325","52","3.92","140",""
"","","","","C001076","https://api.propublica.org/congress/v1/members/C001076.json","Jason Chaffetz","R","UT","3","1325","52","3.92","141",""
"","","","","H001060","https://api.propublica.org/congress/v1/members/H001060.json","Robert Hurt","R","VA","5","1325","52","3.92","142","Announced retirement on Dec. 23, 2015"
"","","","","J000255","https://api.propublica.org/congress/v1/members/J000255.json","Walter B. Jones","R","NC","3","1325","52","3.92","143",""
"","","","","S001145","https://api.propublica.org/congress/v1/members/S001145.json","Jan Schakowsky","D","IL","9","1325","52","3.92","144",""
"","","","","Y000064","https://api.propublica.org/congress/v1/members/Y000064.json","Todd Young","R","IN","9","1325","51","3.85","145","Elected to Senate"
"","","","","R000578","https://api.propublica.org/congress/v1/members/R000578.json","Dave Reichert","R","WA","8","1325","51","3.85","146",""
"","","","","S001180","https://api.propublica.org/congress/v1/members/S001180.json","Kurt Schrader","D","OR","5","1325","50","3.77","147",""
"","","","","P000591","https://api.propublica.org/congress/v1/members/P000591.json","Tom Price","R","GA","6","1325","50","3.77","148",""
"","","","","S001191","https://api.propublica.org/congress/v1/members/S001191.json","Kyrsten Sinema","D","AZ","9","1325","49","3.70","149",""
"","","","","S001193","https://api.propublica.org/congress/v1/members/S001193.json","Eric Swalwell","D","CA","15","1325","49","3.70","150",""
"","","","","C001059","https://api.propublica.org/congress/v1/members/C001059.json","Jim Costa","D","CA","16","1317","48","3.64","151",""
"","","","","C001063","https://api.propublica.org/congress/v1/members/C001063.json","Henry Cuellar","D","TX","28","1325","48","3.62","152",""
"","","","","I000056","https://api.propublica.org/congress/v1/members/I000056.json","Darrell Issa","R","CA","49","1325","48","3.62","153",""
"","","","","A000371","https://api.propublica.org/congress/v1/members/A000371.json","Pete Aguilar","D","CA","31","1325","47","3.55","154",""
"","","","","C001049","https://api.propublica.org/congress/v1/members/C001049.json","William Lacy Clay","D","MO","1","1325","47","3.55","155",""
"","","","","D000615","https://api.propublica.org/congress/v1/members/D000615.json","Jeffrey Duncan","R","SC","3","1325","47","3.55","156",""
"","","","","P000602","https://api.propublica.org/congress/v1/members/P000602.json","Mike Pompeo","R","KS","4","1325","47","3.55","157",""
"","","","","H001058","https://api.propublica.org/congress/v1/members/H001058.json","Bill Huizenga","R","MI","2","1325","47","3.55","158",""
"","","","","C001038","https://api.propublica.org/congress/v1/members/C001038.json","Joseph Crowley","D","NY","14","1320","46","3.48","159",""
"","","","","B001290","https://api.propublica.org/congress/v1/members/B001290.json","David A. Brat","R","VA","7","1325","46","3.47","160",""
"","","","","J000294","https://api.propublica.org/congress/v1/members/J000294.json","Hakeem Jeffries","D","NY","8","1325","46","3.47","161",""
"","","","","M001191","https://api.propublica.org/congress/v1/members/M001191.json","Patrick Murphy","D","FL","18","1325","46","3.47","162","Running for Senate"
"","","","","P000523","https://api.propublica.org/congress/v1/members/P000523.json","David E. Price","D","NC","4","1324","45","3.40","163",""
"","","","","E000290","https://api.propublica.org/congress/v1/members/E000290.json","Donna Edwards","D","MD","4","1325","45","3.40","164","Lost Democratic primary for Senate"
"","","","","J000288","https://api.propublica.org/congress/v1/members/J000288.json","Hank Johnson","D","GA","4","1325","44","3.32","165",""
"","","","","B000213","https://api.propublica.org/congress/v1/members/B000213.json","Joe L. Barton","R","TX","6","1325","43","3.25","166",""
"","","","","C001068","https://api.propublica.org/congress/v1/members/C001068.json","Steve Cohen","D","TN","9","1325","43","3.25","167",""
"","","","","P000096","https://api.propublica.org/congress/v1/members/P000096.json","Bill Pascrell Jr.","D","NJ","9","1325","43","3.25","168",""
"","","","","T000460","https://api.propublica.org/congress/v1/members/T000460.json","Mike Thompson","D","CA","5","1325","42","3.17","169",""
"","","","","R000587","https://api.propublica.org/congress/v1/members/R000587.json","Reid Ribble","R","WI","8","1325","42","3.17","170","Announced retirement on Jan. 31, 2016"
"","","","","I000057","https://api.propublica.org/congress/v1/members/I000057.json","Steve Israel","D","NY","3","1325","42","3.17","171","Announced retirement on Jan. 5, 2016"
"","","","","M001144","https://api.propublica.org/congress/v1/members/M001144.json","Jeff Miller","R","FL","1","1325","42","3.17","172","Announced retirement on March 10, 2016"
"","","","","W000800","https://api.propublica.org/congress/v1/members/W000800.json","Peter Welch","D","VT","1","1324","41","3.10","173",""
"","","","","B001243","https://api.propublica.org/congress/v1/members/B001243.json","Marsha Blackburn","R","TN","7","1325","41","3.09","174",""
"","","","","C001066","https://api.propublica.org/congress/v1/members/C001066.json","Kathy Castor","D","FL","14","1325","41","3.09","175",""
"","","","","J000295","https://api.propublica.org/congress/v1/members/J000295.json","Dave Joyce","R","OH","14","1325","41","3.09","176",""
"","","","","B001289","https://api.propublica.org/congress/v1/members/B001289.json","Bradley Byrne","R","AL","1","1325","41","3.09","177",""
"","","","","V000128","https://api.propublica.org/congress/v1/members/V000128.json","Chris Van Hollen","D","MD","8","1325","40","3.02","178","Elected to Senate"
"","","","","F000455","https://api.propublica.org/congress/v1/members/F000455.json","Marcia L. Fudge","D","OH","11","1325","40","3.02","179",""
