id,api_uri,name,party,state,district,total_votes,votes_with_party,party_votes_pct,rank,notes
B001296,https://api.propublica.org/congress/v1/members/B001296.json,Brendan Boyle,D,PA,13,1325,1194,94.24,174,
K000381,https://api.propublica.org/congress/v1/members/K000381.json,Derek Kilmer,D,WA,6,1325,1246,94.25,175,
D000614,https://api.propublica.org/congress/v1/members/D000614.json,Sean Duffy,R,WI,7,1325,1183,94.26,176,
T000470,https://api.propublica.org/congress/v1/members/T000470.json,Scott Tipton,R,CO,3,1325,1236,94.28,177,
S000364,https://api.propublica.org/congress/v1/members/S000364.json,John Shimkus,R,IL,15,1325,1239,94.29,178,
G000560,https://api.propublica.org/congress/v1/members/G000560.json,Tom Graves,R,GA,14,1325,1223,94.29,179,
C001093,https://api.propublica.org/congress/v1/members/C001093.json,Doug Collins,R,GA,9,1325,1226,94.31,180,
M000404,https://api.propublica.org/congress/v1/members/M000404.json,Jim McDermott,D,WA,7,1325,1199,94.34,181,"Announced retirement on Jan. 4, 2016"
Y000066,https://api.propublica.org/congress/v1/members/Y000066.json,David Young,R,IA,3,1325,1250,94.34,182,
A000055,https://api.propublica.org/congress/v1/members/A000055.json,Robert B. Aderholt,R,AL,4,1325,1230,94.4,183,
M000312,https://api.propublica.org/congress/v1/members/M000312.json,Jim McGovern,D,MA,2,1325,1231,94.4,184,
C001083,https://api.propublica.org/congress/v1/members/C001083.json,John Carney,D,DE,1,1325,1217,94.41,185,Running for governor
P000601,https://api.propublica.org/congress/v1/members/P000601.json,Steven Palazzo,R,MS,4,1325,1188,94.44,186,
K000375,https://api.propublica.org/congress/v1/members/K000375.json,Bill Keating,D,MA,9,1325,1222,94.44,187,
M001196,https://api.propublica.org/congress/v1/members/M001196.json,Seth Moulton,D,MA,6,1325,1240,94.44,188,
C001078,https://api.propublica.org/congress/v1/members/C001078.json,Gerald E. Connolly,D,VA,11,1325,1241,94.44,189,
B001283,https://api.propublica.org/congress/v1/members/B001283.json,Jim Bridenstine,R,OK,1,1325,1226,94.45,190,
C001068,https://api.propublica.org/congress/v1/members/C001068.json,Steve Cohen,D,TN,9,1325,1211,94.46,191,
L000580,https://api.propublica.org/congress/v1/members/L000580.json,Michelle Lujan Grisham,D,NM,1,1325,1194,94.46,192,
H000324,https://api.propublica.org/congress/v1/members/H000324.json,Alcee L. Hastings,D,FL,20,1325,1058,94.46,193,
G000546,https://api.propublica.org/congress/v1/members/G000546.json,Sam Graves,R,MO,6,1325,1163,94.48,194,
V000108,https://api.propublica.org/congress/v1/members/V000108.json,Peter J. Visclosky,D,IN,1,1325,1234,94.49,195,
C001092,https://api.propublica.org/congress/v1/members/C001092.json,Chris Collins,R,NY,27,1325,1223,94.51,196,
I000056,https://api.propublica.org/congress/v1/members/I000056.json,Darrell Issa,R,CA,49,1325,1207,94.52,197,
H001070,https://api.propublica.org/congress/v1/members/H001070.json,Cresent Hardy,R,NV,4,1325,1225,94.52,198,Lost general election.
H001058,https://api.propublica.org/congress/v1/members/H001058.json,Bill Huizenga,R,MI,2,1325,1208,94.52,199,
